"x","y"
446348.247004021,4626946.0254606
446417.036152829,4626946.99719774
446423.140296526,4626942.26499207
446375.667425198,4626973.83485831
446569.86857166,4626946.79998229
446573.335345916,4626964.65387027
446790.729161305,4626942.97082775
447199.298379791,4626959.37090748
447263.958335237,4626970.04160275
447231.866456673,4626938.24220748
447298.289910436,4626943.09043499
447354.609873239,4626950.56105994
447368.648240971,4626929.35950129
447376.878480287,4626969.82211082
447402.613141295,4626950.4933331
447549.813835532,4626958.1074119
447672.082016722,4626925.86106328
446555.836178269,4626922.83193253
446674.649898184,4626902.03791133
446649.436576082,4626896.9667748
446684.795575624,4626898.4546595
446788.150068081,4626895.69118947
447039.045374875,4626891.67387354
447157.45619582,4626881.61403119
447182.182136178,4626913.71906616
447200.558137707,4626890.32846901
447210.873279592,4626898.03528256
447209.538514249,4626890.80471252
447355.232217663,4626877.26200571
447406.703567121,4626911.13614256
447524.323151144,4626911.21123639
447512.121233367,4626893.97066032
447486.80699598,4626891.83270218
445977.068001777,4626856.5332227
446298.772565741,4626833.16097524
446349.365441885,4626837.47432551
446458.645504434,4626855.08278809
446442.978376616,4626866.16083087
446820.084194036,4626831.7751921
447142.885490169,4626848.47956611
447373.252717301,4626869.74056661
447361.208106414,4626846.58696315
447355.324131541,4626849.78688117
447457.286517648,4626838.92817814
447428.767265368,4626843.55539623
447566.561358457,4626839.94310059
447562.096816616,4626853.88483605
447545.162278228,4626873.82533193
447525.264754985,4626854.90232402
447970.383710216,4626827.99268607
446114.652283373,4626787.21599815
446187.687602371,4626799.35148684
446395.542025496,4626813.21097265
446394.861548336,4626800.15388354
446467.108950845,4626818.7378775
446474.711199128,4626808.24225671
447080.154899764,4626799.11187992
447108.532620419,4626813.43665048
447143.53707165,4626776.97362099
447221.889769321,4626784.84692911
447202.999329381,4626814.99084062
447204.452726443,4626781.84236247
447258.606901369,4626776.70161492
447305.722540186,4626783.23632942
447347.7838594,4626805.40503487
447410.460680432,4626802.28376215
447411.479782709,4626800.03584088
447498.655194207,4626803.50669073
447479.588087962,4626822.39936141
447512.560271146,4626792.61430826
447533.141277358,4626821.97911568
447593.801137444,4626811.03846234
447973.695795785,4626783.56442793
446166.246287886,4626761.98873229
446507.015106571,4626742.08197634
446605.379431241,4626769.67247791
446701.234002016,4626748.71243927
446756.780156097,4626731.07758876
446743.753082701,4626739.85452658
447011.134306749,4626753.33100209
447041.417114122,4626763.6160997
447108.923429053,4626726.15371128
447084.164496651,4626738.61371304
447110.656184901,4626743.63296526
447158.938636584,4626763.62834643
447140.532613907,4626726.82556853
447177.759210882,4626760.72758465
447195.957234502,4626760.29007414
447293.403569621,4626734.10240031
447286.120438436,4626748.83397792
447335.554612742,4626741.67788742
447354.045147868,4626745.51739513
447374.125839619,4626758.51957451
447413.689333317,4626770.7621192
447397.580187768,4626770.4545697
447472.410460981,4626732.44827552
447445.129785256,4626744.3990655
447481.658171385,4626732.12013781
447476.864991791,4626752.4987204
447557.537178497,4626736.54114683
447548.401627794,4626773.76662537
447529.932683671,4626763.84717645
447573.086724861,4626733.53497814
447687.52210862,4626725.96132078
447688.29568011,4626758.67296172
447692.426639365,4626731.50871235
446018.09976236,4626716.95122854
446160.697616974,4626679.41448599
446338.464051404,4626712.0327538
446420.529765659,4626692.48226163
446489.824815816,4626722.85092174
446552.071731142,4626691.79675581
446560.971717048,4626720.98805186
446660.770917567,4626701.95538397
447107.471612131,4626715.62583644
447116.692379641,4626695.31895347
447169.846728584,4626676.47235665
447195.25274398,4626718.26304439
447231.140634511,4626681.02528844
447230.293818703,4626723.16072106
447243.32025029,4626721.85074913
447261.392677843,4626680.26047974
447349.416687898,4626679.69507829
447346.843603498,4626700.26827151
447405.938047357,4626713.94807611
447402.444108948,4626714.72556436
447468.736559327,4626706.9168333
447468.048968539,4626700.1220662
447467.475667794,4626704.86261558
447488.307402795,4626681.505088
447511.186788674,4626698.65748627
447530.897808785,4626700.59355473
447561.375728308,4626705.38254626
447541.19514199,4626680.42788691
446067.467078962,4626664.9273742
446102.44964672,4626640.02262312
446336.446216307,4626636.0155696
446488.682892069,4626630.74593396
446508.134566911,4626653.92799624
446572.938340832,4626625.64068025
446572.769827361,4626653.5325208
446585.872062715,4626673.10107201
446634.927904501,4626650.75445288
447039.981323131,4626663.58278993
447117.877431901,4626646.80587538
447152.784751903,4626666.46771323
447129.251118388,4626641.30360791
447140.07240088,4626651.41526336
447190.105382784,4626639.68785942
447177.200546931,4626631.19366254
447194.096351461,4626665.95755257
447224.959228374,4626628.95910038
447199.306649319,4626654.84015701
447268.747250398,4626633.05448989
447242.798228899,4626629.57310096
447260.630906909,4626660.26057583
447276.407400426,4626653.01949605
447365.95121338,4626644.28013529
447376.766186627,4626636.55628412
447416.613683349,4626653.01795693
447378.761332436,4626668.99703798
447464.737409446,4626655.50667018
447456.184316659,4626644.57663236
447442.415059893,4626632.58070642
447511.263491923,4626673.90009445
447534.099371743,4626629.37973094
447756.393479742,4626637.9952708
447837.268768658,4626637.84464247
446157.725004444,4626612.51086529
446557.471777627,4626591.29851093
446586.689291045,4626597.55207513
446641.850334057,4626594.7782538
447085.690380237,4626622.8237959
447165.417368955,4626584.36189431
447222.509520326,4626598.76724663
447189.244606567,4626600.51070965
447301.381591603,4626610.18872093
447322.302738717,4626621.07636047
447307.326095621,4626593.60554011
447293.654974177,4626619.16322506
447302.575218002,4626617.46299494
