"x_","y_","t_","id"
446975,4626025,2021-02-05 01:00:00,"A01"
446692.999717698,4626061.50371096,2021-02-05 02:00:00,"A01"
446539.918678429,4625899.47086135,2021-02-05 03:00:00,"A01"
446505.043169903,4625724.35350842,2021-02-05 04:00:00,"A01"
446526.194708934,4625620.14927443,2021-02-05 05:00:00,"A01"
446693.406060268,4625450.34757744,2021-02-05 06:00:00,"A01"
446873.666194989,4625365.34824907,2021-02-05 07:00:00,"A01"
447170.509811479,4625049.45560279,2021-02-05 08:00:00,"A01"
447478.657498187,4624992.64763634,2021-02-05 09:00:00,"A01"
447405.35969123,4625202.89540783,2021-02-05 10:00:00,"A01"
447468.189127534,4625346.7321911,2021-02-05 11:00:00,"A01"
447300.99487917,4625444.13018455,2021-02-05 12:00:00,"A01"
447448.633234517,4625893.91049319,2021-02-05 13:00:00,"A01"
447308.151632082,4625787.16758905,2021-02-05 14:00:00,"A01"
447330.864174885,4625997.92099744,2021-02-05 15:00:00,"A01"
447139.200904092,4626289.54304021,2021-02-05 16:00:00,"A01"
447415.222466679,4626345.67935271,2021-02-05 17:00:00,"A01"
447444.469082658,4626283.9347909,2021-02-05 18:00:00,"A01"
447487.702065485,4626568.13656751,2021-02-05 19:00:00,"A01"
447292.701864068,4626473.68669866,2021-02-05 20:00:00,"A01"
447085.885449138,4626428.02754747,2021-02-05 21:00:00,"A01"
446974.246722599,4626231.69458474,2021-02-05 22:00:00,"A01"
446974.840684445,4625935.28068798,2021-02-05 23:00:00,"A01"
447052.840105991,4625810.58885844,2021-02-06,"A01"
447324.527800689,4625739.5954527,2021-02-06 01:00:00,"A01"
447275.575655233,4625435.04901336,2021-02-06 02:00:00,"A01"
447157.003971154,4625513.19896805,2021-02-06 03:00:00,"A01"
447033.656611701,4625623.53811417,2021-02-06 04:00:00,"A01"
447312.495362968,4625579.0020938,2021-02-06 05:00:00,"A01"
447358.469251811,4625472.77399096,2021-02-06 06:00:00,"A01"
447446.337524115,4625368.50776778,2021-02-06 07:00:00,"A01"
447378.257613047,4625080.56703302,2021-02-06 08:00:00,"A01"
447346.455844585,4624989.60956365,2021-02-06 09:00:00,"A01"
447095.662824111,4625171.28126624,2021-02-06 10:00:00,"A01"
446885.442967655,4625479.35375204,2021-02-06 11:00:00,"A01"
446603.220336244,4625584.81099291,2021-02-06 12:00:00,"A01"
446481.501914118,4625520.01493551,2021-02-06 13:00:00,"A01"
446468.913477112,4625427.25409342,2021-02-06 14:00:00,"A01"
446288.471045659,4625639.70374713,2021-02-06 15:00:00,"A01"
446358.131455851,4625751.89650529,2021-02-06 16:00:00,"A01"
446427.525144035,4625822.22962655,2021-02-06 17:00:00,"A01"
446553.639914014,4625622.43324848,2021-02-06 18:00:00,"A01"
446522.47147928,4625530.36737844,2021-02-06 19:00:00,"A01"
446627.465104859,4625419.74175544,2021-02-06 20:00:00,"A01"
446384.050673293,4625593.96217476,2021-02-06 21:00:00,"A01"
446404.376076208,4625701.15136943,2021-02-06 22:00:00,"A01"
446549.845458742,4625590.48608992,2021-02-06 23:00:00,"A01"
446683.502606757,4625331.66516704,2021-02-07,"A01"
446870.512774633,4625405.97820044,2021-02-07 01:00:00,"A01"
447102.010423155,4625789.16492072,2021-02-07 02:00:00,"A01"
447169.926700206,4625886.18017628,2021-02-07 03:00:00,"A01"
447381.275809847,4626309.57825159,2021-02-07 04:00:00,"A01"
447377.223919181,4626346.96528675,2021-02-07 05:00:00,"A01"
447486.771677004,4626482.65260415,2021-02-07 06:00:00,"A01"
447629.639914969,4626803.15514082,2021-02-07 07:00:00,"A01"
447370.911458833,4626951.28530142,2021-02-07 08:00:00,"A01"
447429.908800428,4626754.46241311,2021-02-07 09:00:00,"A01"
447384.261718264,4626603.71390195,2021-02-07 10:00:00,"A01"
